"","topic","coef","se","pval"
"16",16,-0.00606905927469218,9.7642181404275e-06,0.122435874129686
"21",21,-0.00487286500143708,8.56849201832808e-06,0.960138793149464
"6",6,-0.00448444320097421,5.95420231296259e-06,0.11283018364371
"22",22,-0.0043107953529231,7.35475264974829e-06,0.395464707663683
"5",5,-0.00360710278678336,7.85671878438036e-06,0.103790953631195
"11",11,-0.00248489133240692,8.35572137402363e-06,0.666814816869235
"7",7,-0.00242499753526271,8.14520574544429e-06,0.450776269974103
"10",10,-0.00224178104152324,1.00281306363912e-05,0.933117795203865
"4",4,-0.00184677133189372,6.73408420772932e-06,0.723327633515194
"28",28,-0.00170052218544015,6.90305366876906e-06,0.228338515642758
"15",15,-0.0016919701729332,1.09498072151456e-05,0.782189826007408
"2",2,-0.00163333246595288,7.40714507258353e-06,0.0660414601939631
"13",13,-0.000751775385023971,8.61122298498415e-06,0.553555353624158
"1",1,-0.000647233507481622,4.12081070718232e-06,0.459961903065305
"12",12,-0.000632187032305719,8.76020262130732e-06,0.713535720016609
"9",9,-0.000389937840554458,5.87235103849378e-06,0.933469414995875
"18",18,-0.00024609557162298,5.72141913998663e-06,0.814744019059015
"8",8,2.598927473851e-05,6.71449291362557e-06,0.337168369231982
"14",14,4.87407715552421e-05,6.94798256073005e-06,0.785920641827197
"30",30,0.000166462710008342,4.88537230950133e-06,0.905687245973442
"27",27,0.00083728030883097,6.4737953670064e-06,0.44210671656632
"19",19,0.00138837108617016,8.653836795666e-06,0.848634949009589
"23",23,0.00156302287072595,7.00560273225906e-06,0.971703907276206
"24",24,0.00162690725099144,1.30778162100666e-05,0.800257050545519
"29",29,0.00435296591231509,5.29941596896056e-06,0.250784554049406
"3",3,0.00437827071820402,1.11782080534628e-05,0.0860706301848372
"25",25,0.00448586664202199,8.25748419903356e-06,0.125299927097719
"20",20,0.00614618377658611,6.42559795905963e-06,0.125773506759006
"17",17,0.00654227667894677,9.48559790315801e-06,0.145766618523396
"26",26,0.00847342301811692,1.13018491131094e-05,0.047308835984415
